"species_name"	"Major_tax"	"Tax"	"CPA_count"	"CPA_binary"	"NhaB_count"	"NhaB_binary"	"NhaC_count"	"NhaC_binary"	"NhaD_count"	"NhaD_binary"
"1"	"Acanthamoeba_castellanii_Str_Neff"	"Amoebozoa"	"Eukaryota;Amoebozoa;Discosea;Longamoebia;Centramoebida;Acanthamoebidae;Acanthamoeba"	4	1	0	0	0	0	7	1
"2"	"Acanthaster_planci"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Echinodermata;Eleutherozoa;Asterozoa;Asteroidea;Valvatacea;Valvatida;Acanthasteridae;Acanthaster"	20	1	0	0	0	0	1	1
"3"	"Acaromyces_ingoldii_MCA_4198"	"Fungi"	"Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Exobasidiomycetes;Exobasidiales;Cryptobasidiaceae;Acaromyces"	7	1	0	0	0	0	2	1
"4"	"Acropora_digitifera"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Astrocoeniina;Acroporidae;Acropora"	10	1	0	0	0	0	6	1
"5"	"Acytostelium_subglobosum_LB1"	"Amoebozoa"	"Eukaryota;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Acytosteliales;Acytosteliaceae;Acytostelium"	6	1	0	0	0	0	0	0
"6"	"Adineta_vaga"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Gnathifera;Rotifera;Eurotatoria;Bdelloidea;Adinetida;Adinetidae;Adineta"	22	1	0	0	0	0	1	1
"7"	"Agaricus_bisporus_ var. bisporus H97"	"Fungi"	"Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Agaricineae;Agaricaceae;Agaricus"	6	1	0	0	0	0	2	1
"8"	"Albugo_laibachii_Nc14"	"Stramenopiles"	"Eukaryota;Sar;Stramenopiles;Oomycota;Albuginales;Albuginaceae;Albugo;Albugolaibachii"	10	1	0	0	1	1	1	1
"9"	"Allomyces_macrogynus_ATCC 38327"	"Fungi"	"Eukaryota;Opisthokonta;Fungi;Fungiincertaesedis;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces"	11	1	0	0	0	0	8	1
"10"	"Amborella_trichopoda"	"Viridiplantae"	"Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Amborellales;Amborellaceae;Amborella"	54	1	0	0	0	0	6	1
"11"	"Amoebophrya_sp.A120"	"Alveolata"	"Eukaryota;Sar;Alveolata;Dinophyceae;Syndiniales;Amoebophryaceae"	8	1	0	0	0	0	6	1
"12"	"Amphimedon_queenslandica"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Haplosclerida;Niphatidae;Amphimedon"	8	1	0	0	1	1	4	1
"13"	"Anaeramoeba_ignava"	"Metamonada"	"Eukaryota;Metamonada;Anaeramoebidae;Anaeramoeba"	4	1	0	0	0	0	4	1
"14"	"Anaeromyces_robustus"	"Fungi"	"Eukaryota;Opisthokonta;Fungi;Fungiincertaesedis;Chytridiomycota;Chytridiomycotaincertaesedis;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae;Anaeromyces"	4	1	0	0	3	1	5	1
"15"	"Anas_platyrhynchos"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Galloanserae;Anseriformes;Anatidae;Anatinae;Anas"	22	1	0	0	0	0	2	1
"16"	"Andalucia_godoyi"	"Discoba"	"Eukaryota;Discoba;Jakobida;Andalucina;Andaluciidae;Andalucia"	2	1	0	0	0	0	1	1
"17"	"Angomonas_deanei"	"Excavata"	"Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosomatidae;Strigomonadinae;Angomonas"	2	1	0	0	0	0	1	1
"18"	"Anopheles_gambiae"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Diptera;Nematocera;Culicomorpha;Culicoidea;Culicidae;Anophelinae;Anopheles;Cellia;Pyretophorus;gambiaespeciescomplex"	56	1	0	0	0	0	13	1
"19"	"Aphanomyces_astaci"	"Stramenopiles"	"Eukaryota;Sar;Stramenopiles;Oomycota;Saprolegniales;Saprolegniaceae;Aphanomyces"	13	1	0	0	0	0	1	1
"20"	"Apis_melifera_DH4"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Hymenoptera;Apocrita;Aculeata;Apoidea;Anthophila;Apidae;Apinae;Apini;Apis"	24	1	0	0	0	0	1	1
"21"	"Aplanochytrium_kerguelense_PBS07"	"Stramenopiles"	"Eukaryota;Sar;Stramenopiles;Bigyra;Labyrinthulomycetes;Thraustochytrida;Thraustochytriaceae"	141	1	0	0	12	1	16	1
"22"	"Aquilegia_coerulea_Goldsmith"	"Viridiplantae"	"Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Ranunculales;Ranunculaceae;Thalictroideae;Aquilegia"	46	1	0	0	0	0	3	1
