Location	Category
acid mine drainage	Acid mine drainage
acid mine drainage sediment	Acid mine drainage
acid mine drainage site biofilm from emergence	Acid mine drainage
acid mine drainage site biofilm from emergence; outflow channel; and rose pool	Acid mine drainage
acid mine drainage site biofilm from limestone lined channel	Acid mine drainage
acid mine drainage site biofilm from limestone lined outflow channel community	Acid mine drainage
acid mine drainage site biofilm from rose pool	Acid mine drainage
acid mine drainage water	Acid mine drainage
rare earth elements-acid mine drainage (rees-amd) contaminated river water	Acid mine drainage
acid mining effluent decantation pond	Acid mine drainage
acidic mine drainage (ph 2.65) from abandoned open-cast mine at sherlovaya gora in transbaikal area	Acid mine drainage
acidic mine water	Acid mine drainage
fankou acid mine drainage sediment core a	Acid mine drainage
fankou acid mine drainage sediment core b	Acid mine drainage
fungal streamer biofilms collected from the 5-way site of the richmond mine at iron mountain; california. the ph of the acid mine drainage the biomass was sampled from was 0.98; and the temperature was 38c	Acid mine drainage
sulfidogenic bioreactor run at ph 2.4 which was inoculated with two (moderately) acidophilic sulfate reducing isolates and an enrichment culture of an anaerobic streamer mat from an acidic (ph 2.5) stream draining of an abandoned copper mine in south-west spain	Acid mine drainage
planktonic fraction from bioreactor innoculated with activated sludge tailings effluent remediation (aster); culture conditions: molasses with increasing thiocyanate	Activated sludge
planktonic fraction from bioreactor innoculated with activated sludge tailings effluent remediation (aster); culture conditions: molasses with increasing thiocyanate and no molasses at 250 mg/l thiocyanate	Activated sludge
planktonic fraction from bioreactor innoculated with activated sludge tailings effluent remediation (aster); culture conditions: molasses with increasing thiocyanate until 250 mg/l maintanence	Activated sludge
planktonic fraction from bioreactor innoculated with activated sludge tailings effluent remediation (aster); culture conditions: molasses with increasing thiocyanate until 250 mg/l maintanence and no molasses	Activated sludge
planktonic fraction from bioreactor innoculated with activated sludge tailings effluent remediation (aster); culture conditions: no molasses with increasing thiocyanate	Activated sludge
population genome bin extracted from metagenomes of a methanogenic wastewater treatment sludge	Activated sludge
returned activated sewage sludge	Activated sludge
thermophilic digester sludge	Activated sludge
bulking activated sludge of pickle manufacturing wastewater treatment plant of pickle manufacturing; japan	Activated sludge
bulking activated sludge of soy sauce factory wastewater treatment plant; japan	Activated sludge
activated sludge	Activated sludge
activated sludge and biofilm from membrane bioreactor	Activated sludge
activated sludge biological foaming	Activated sludge
activated sludge biomass	Activated sludge
activated sludge biosolids	Activated sludge
activated sludge for phosphorus removal	Activated sludge
activated sludge for treating petroleum wastewater	Activated sludge
activated sludge form a lab-scale nitrification reactor	Activated sludge
activated sludge from a full-scale wastewater treatment plant	Activated sludge
activated sludge from a las vegas sewage treatment facility	Activated sludge
activated sludge from a local municipal sewage plant	Activated sludge
activated sludge from a seawater processing wastewater treatment plant	Activated sludge
activated sludge from a seawater processing wastewater treatment plant in villaricos (almeria)	Activated sludge
activated sludge from a waste-water treatment plant	Activated sludge
activated sludge from aale_18-q3-r2-46	Activated sludge
activated sludge from aalw_18-q3-r10-53	Activated sludge
activated sludge from aeration tank for sewage treatment	Activated sludge
activated sludge from aved_18-q3-r54-62	Activated sludge
activated sludge from bjer_18-q3-r1-45	Activated sludge
activated sludge from damh_18-q3-r51-60	Activated sludge
activated sludge from ebpr bioreactor	Activated sludge
activated sludge from ega_18-q3-r5-49	Activated sludge
activated sludge from ejby_18-q3-r6-50	Activated sludge
activated sludge from esbe_18-q3-r3-47	Activated sludge
activated sludge from esbw_18-q3-r4-48	Activated sludge
activated sludge from fred_18-q3-r57-64	Activated sludge
activated sludge from full-scale wasterwater treatment	Activated sludge
activated sludge from full-scale wastewater treatment plant	Activated sludge
